,1,2,3,4,5,6,7,8,9,10
0,1075.544708,919.7310899,722.8773773,450.2383665,404.6385319,1514.554505,1109.915973,4.205775251,26.06943893,Male
1,1060.605671,897.4603077,725.765911,477.9524802,398.5107873,1540.461867,1141.95108,3.9807672,23.21672419,Male
2,1095.092061,964.7127957,704.7692308,386.9230769,378.7692308,1592.769231,1214,4.603196742,31.11349704,Male
3,1135.629723,943.1873077,787.4027358,557.7861576,420.2545081,1590.465016,1170.210508,3.995318493,23.74451094,Male
4,1066.583249,912.33149,686.1851563,483.4692159,379.4697499,1566.029696,1186.559946,4.788907446,33.64214654,Male
5,1071.297815,901.5751479,749.1111111,130.8888889,415.7777778,1493.111111,1077.333333,4.675513552,33.33747372,Male
6,1079.848653,894.6521053,757.5797973,423.6270134,415.9991225,1548.647896,1132.648774,4.339785386,28.80154448,Male
7,1213.868696,1019.691783,816.775067,467.704213,422.0459795,1783.98816,1361.942181,4.615418311,32.68313855,Male
8,1085.783325,963.6748959,692.5477879,466.6658367,382.1169675,1592.467756,1210.350789,4.451784586,29.53957,Male
9,885.8717315,812.4218705,551.7530262,446.056928,345.6941192,1191.990171,846.296052,4.904002088,32.68822099,Male
10,463.9063834,639.6461141,244.5387421,18.16202859,68.54003648,486.0504795,417.510443,9.688477696,124.7592823,Female
11,675.71476,849.3105622,362.7630381,11.05452722,129.8906949,843.6349724,713.7442775,10.01953937,141.9859688,Female
12,608.1748238,749.3975085,389.8802727,10.11759308,102.3523951,780.9370098,678.5846147,10.20664225,152.926665,Female
13,707.3219355,785.8651869,473.6666667,9.833333333,196.8333333,905.8333333,709,7.515863597,84.38367886,Female
14,875.7659499,856.5093489,649.5,50,250.75,1085,834.25,6.34178956,59.41905526,Female
15,767.7236035,804.8206247,484.9694064,212.5389775,225.511855,931.2363947,705.7245396,8.137697746,92.23888577,Female
16,478.2135958,672.9771876,260.5714286,55.42857143,74,518.8571429,444.8571429,8.457215171,89.25069401,Female
17,745.9024103,813.8733202,482.9090909,50,229.0909091,931.6363636,702.5454545,9.012693348,121.3120718,Female
18,702.6155046,726.84184,482.9090909,8.181818182,215.0909091,963.4545455,748.3636364,8.814065902,113.7211672,Female
19,574.8579559,768.0455182,266.893102,8.340409436,59.91477799,681.5305996,621.6158217,11.17785704,175.4846912,Female
20,574.1394623,660.1778691,382.3139644,5.263132769,90.52588363,821.048712,730.5228284,9.398249557,126.2976466,Female
21,607.1089231,778.5737649,274.1316757,5.511077786,80.35506966,722.4845201,642.1294505,10.60490638,157.1410217,Female
22,577.0405291,700.659247,271.2152039,19.29408333,84.54886924,800.939752,716.3908828,8.544485938,95.49066445,Female
23,722.2629604,973.2140975,369.1682816,12.29260134,123.7064961,742.2389763,618.5324803,10.66802326,163.6822115,Female
24,586.9686664,794.0317923,239.9985488,222.6653202,87.19947272,667.4626306,580.2631579,12.07635846,206.5941377,Female
25,566.7029094,774.1066504,236.1283414,15.99995319,56.77402743,791.7396189,734.9655915,13.38072829,239.5264618,Female
26,389.9367715,616.5936844,127.0235472,9.170670843,34.92659747,476.0944012,441.1678038,14.30403825,275.5505936,Female
27,780.699818,730.1397997,584.5,50,263.6666667,1000.333333,736.6666667,6.665171063,66.84437288,Female
28,734.1286961,715.423774,566.9230769,254,227.8461538,948.1538462,720.3076923,7.203348132,78.11797013,Female
29,476.0549187,632.1623623,223.9995275,22.88367266,42.79060741,681.6729807,638.8823733,12.85517721,217.5781007,Female
30,1494.128553,1112.292866,1163.163839,444.9788475,525.280322,2496.289071,1971.008749,3.628473649,21.85764944,Male
31,1467.704106,985.1444101,1179.404575,605.1120548,624.3906573,2391.858183,1767.467526,3.316658248,19.49547485,Male
32,1540.017743,1021.48923,1404,433.9047619,582.3809524,2471.714286,1889.333333,3.393040631,20.64335813,Male
33,1506.170442,1002.926343,1189.651452,494.481212,611.4463634,2489.647386,1878.201022,3.030282814,15.06098262,Male
34,1666.675934,1073.78929,1608.769811,461.8505933,569.1669543,2691.299212,2122.132257,3.272346954,18.74153383,Male
35,1638.323856,995.0705894,1610.364961,531.9982128,694.5161854,2413.325226,1718.809041,2.933989353,14.60778563,Male
36,1538.774019,924.9629057,1390.449503,623.2952701,661.3301762,2249.533121,1588.202944,3.404238329,18.76667843,Male
37,1569.682759,995.0322591,1540.727273,533.8181818,606.1818182,2286.363636,1680.181818,3.092407315,16.69810178,Male
38,1516.200161,955.5940622,1300.792134,680.3514416,673.4181502,2307.719379,1634.301229,4.187958111,32.14654884,Male
39,1394.025647,865.4854479,1176.967798,588.0936579,651.7029919,2083.888609,1432.185617,3.471568759,20.29379408,Male
40,1310.875259,1137.806696,663.7347441,407.0801513,386.0966384,2502.152773,2116.056134,6.320853812,58.73917073,Male
41,1358.353261,1128.853678,827.8823529,277.1764706,438.5882353,2410.823529,1972.235294,4.790767027,38.18577797,Male
